scroll_id,segment_id,column_id,u1,u2,v1,v2
1,20231005123336,C2,0,10939,3600,14100
1,20231005123336,C3,0,10939,13700,24100
1,20231005123336,C4,0,10939,23200,29872
1,20230929220926,C2,0,9919,3800,14100
1,20230929220926,C3,0,9919,13700,23357
1,20231022170901,C1,0,6655,0,5800
1,20231022170901,C2,0,6655,4800,15640
1,20231022170901,C3,0,6655,14500,26000
1,20231022170901,C4,0,6655,25000,35653
1,20231012184423,C1,0,15798,0,4300
1,20231012184423,C2,0,15798,3200,13900
1,20231012184423,C3,0,15798,13300,23364
1,20231007101619,C1,0,16134,0,12100
1,20231007101619,C2,0,16134,11500,22200
1,20231007101619,C3,0,16134,21200,33305
1,20231012184422_superseded,C2,0,11882,3200,13900
1,20231012184422_superseded,C3,0,11882,13300,23364
1,20231007101616_superseded,C1,0,11330,0,11900
1,20231007101616_superseded,C2,0,11330,11200,22200
1,20231007101616_superseded,C3,0,11330,21400,32600
